@relation RatioDataForProject_1102_8

@attribute Working_Capital numeric
@attribute Quick_Ratio numeric
@attribute Accounts_And_Notes_Receivable numeric
@attribute Days_in_Accounts_Receivable numeric
@attribute Inventory_Days numeric
@attribute Revenue_Growth_Year_over_Year numeric
@attribute Sales_5_Year_Average_Growth numeric
@attribute Gross_Margin numeric
@attribute Oper_Margin numeric
@attribute Pretax_Margin numeric
@attribute Return_Com_Eqy numeric
@attribute Normalized_Return_On_Asset numeric
@attribute Cash_From_Operations numeric
@attribute Free_Cash_Flow numeric
@attribute Interest_Coverage_Ratio numeric
@attribute Avg_Com_Eqy_To_Avg_Asset numeric
@attribute Book_Val_Per_Share numeric
@attribute Tot_Debt_To_Tot_Equity numeric
@attribute Lt_Debt_To_Tot_Asset numeric
@attribute Lt_Debt_To_Com_Equity numeric
@attribute Dividend_Indicated_Yield_Net numeric
@attribute Tobin_Q_Ratio numeric
@attribute Invent_Turnover numeric
@attribute Acct_Rcv_Turnover numeric
@attribute Accounts_Payable_Turnover numeric
@attribute RTG_SP_LT_LC_Issuer_Credit {A,B}

@data
3262,0.992709,3943,67.109268,65.914163,3.327088,-0.279705,32.581847,12.247599,16.506567,19.421872,7.17795,2666,2146,8.799296,51.042013,38.518348,44.829381,21.969163,41.540602,3.067627,1.536539,5.537505,5.35408,7.166053,A
1164.6,0.811673,2574.1,64.823154,68.377082,5.211818,2.140516,46.488369,14.595723,12.753012,21.083065,7.223179,2091.3,1301.7,7.355426,37.917509,27.170301,95.239767,33.855148,88.709063,1.052801,2.562927,5.338046,5.656802,8.175767,A
553.566,0.892198,1597.494,45.524311,29.898787,49.958403,12.442907,47.801909,8.212674,5.861465,24.662343,7.050388,4265.336,141.094,2.993086,51.181613,30.132571,39.224737,20.215266,37.037001,0.749319,2.546611,12.207853,9.515484,3.280578,A
2027.087,0.998263,1602.751,30.879251,0,2.544818,-6.748201,3.168336,2.183821,1.97962,8.101699,4.621989,601.971,318.864,6.302714,34.87631,21.630123,46.356645,17.063149,47.6197,1.454419,1.416445,0,12.829564,11.78128,A
5915,1.516454,5036,79.283948,44.415315,29.791654,0.32098,10.984481,6.605238,3.307468,1.104848,6.639264,2468,1095,1.931915,34.042431,10.037543,131.057612,41.578633,125.330449,1.881124,2.369006,8.217886,4.755006,7.919153,A
288,0.857278,98,6.150654,0,15.201854,9.390386,83.618377,25.100604,25.201207,65.318231,27.448762,2112,1988,74.85,40.103829,9.102298,18.606627,7.493241,16.482583,0.832337,10.746182,0,59.343284,5.802985,A
676,0.057044,0,0,91.435745,5.54009,5.866068,34.114458,9.597925,7.999242,69.382345,11.873171,5065,3942,10.024353,17.657355,7.128237,289.375106,44.101896,265.009365,1.677588,3.220736,3.980938,0,5.312766,A
1300,1.252464,4133,101.192242,0,6.153963,3.92759,0,20.365088,18.846264,22.340064,10.954903,1893,1591,12.050633,35.088946,15.279208,73.73018,25.576387,71.001495,1.930233,2.666505,0,3.438556,0,A
-4075,0.350249,2220,42.496656,116.633919,6.437635,1.727437,76.324513,30.97412,27.141611,27.906424,3.439787,6413,-4364,3.233758,27.978384,69.959746,118.926707,32.161878,111.53928,2.571528,1.46365,3.12945,8.014354,1.80642,A
3999.656,1.071824,2028.545,32.983279,70.351761,24.952126,7.985922,12.68693,9.292117,8.640742,18.828491,8.921419,1051.263,602.708,9.963764,53.497572,29.630472,41.773952,20.467074,37.100682,2.389937,1.724528,5.174,9.447823,14.504765,A
